92 0 0 72 92 28 92 92 92 92 16 0 92 88 92 88 92 0 0 92 12 
92 28 80 80 92 0 28 92 16 92 92 28 92 92 16 17 16 76 0 76 40 
16 28 92 76 92 84 92 16 88 0 20 1 92 88 88 92 80 0 80 0 24 
72 72 92 0 28 84 0 40 16 80 0 88 16 0 28 16 20 24 88 92 0 
92 16 88 92 92 16 92 88 28 28 18 82 28 16 0 0 80 28 0 16 28 
8 28 24 0 28 0 92 84 1 80 0 28 92 88 92 1 0 88 88 16 84 
0 0 0 88 92 28 16 42 42 88 41 16 28 0 88 80 28 16 92 16 84 
0 24 28 16 28 0 16 92 16 0 66 92 28 0 42 0 92 0 16 12 28 
0 28 28 28 92 0 80 92 92 92 16 64 0 92 81 0 92 28 20 72 28 
28 0 28 16 92 92 16 16 28 0 9 28 24 0 20 80 18 1 28 92 12 
88 0 0 18 0 16 16 80 28 28 88 92 92 16 16 0 17 28 0 0 28 
28 1 16 80 0 0 92 82 92 92 16 28 24 0 1 17 28 92 88 92 0 
0 82 92 0 0 0 92 92 92 24 88 24 92 28 20 16 76 16 92 16 28 
0 0 28 64 16 28 88 8 24 76 16 0 88 92 0 80 28 28 28 92 24 
84 88 88 16 16 24 72 80 92 0 92 72 76 33 16 28 92 84 28 92 16 
92 80 92 28 92 92 92 88 0 0 92 0 24 88 80 92 16 28 28 28 8 
24 84 20 0 28 8 74 16 8 92 28 92 28 28 0 92 16 28 0 16 72 
92 92 8 88 0 80 0 72 0 92 0 28 76 0 16 88 0 92 8 92 0 
